"","X","from_id","from_name","message","created_time","type","link","id","story","likes_count","comments_count","shares_count"
"2",2,32075534692,"Oasis Fashion","Christmas has come early! 

Tell us if you prefer THIS Robin Knit or THAT Dachshund Jumper and you could WIN IT!","2017-11-08T12:30:05+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155699877719693/?type=3","32075534692_10155699877719693",NA,1498,2229,307
"16",16,32075534692,"Oasis Fashion","Because you just HAVE TO HAVE these...

Tell us if you prefer THIS Reversible Parka Coat or THAT Cosy Padded Coat and you could WIN IT!","2017-11-01T12:15:02+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155681409359693/?type=3","32075534692_10155681409359693",NA,2427,3424,646
"28",28,32075534692,"Oasis Fashion","Because you just HAVE TO HAVE these...
 Tell us if you prefer THIS Velvet Sleeve Tee or THAT Choker Tee and you could WIN IT!","2017-10-25T11:30:02+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155662696919693/?type=3","32075534692_10155662696919693",NA,865,1175,168
"43",43,32075534692,"Oasis Fashion","Because you just HAVE TO HAVE these...

Tell us if you prefer THIS Check Coat or THAT Faux Fur Collar Coat and you could WIN IT!","2017-10-18T11:30:08+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155644449489693/?type=3","32075534692_10155644449489693",NA,1739,2647,348
"52",52,32075534692,"Oasis Fashion","Because you just HAVE TO HAVE these. 

Tell us if you prefer THIS floral wrap dress or THAT black velvet dress and you could WIN IT.","2017-10-11T11:30:01+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155625776489693/?type=3","32075534692_10155625782324693",NA,1167,1727,194
"62",62,32075534692,"Oasis Fashion","Because you just HAVE TO HAVE these. Tell us if you prefer THIS colour block knit or THAT oversized perfect crew and you could WIN IT.","2017-10-04T11:28:01+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155610275694693/?type=3","32075534692_10155610275694693",NA,1104,1512,221
"70",70,32075534692,"Oasis Fashion","Because you just HAVE TO HAVE these. Tell us if you prefer THIS Rossetti embroidered knit or THAT delphina jaquard mini skirt and you could WIN IT.","2017-09-27T11:30:03+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155592926194693/?type=3","32075534692_10155592926194693",NA,1003,1375,202
"78",78,32075534692,"Oasis Fashion","Because you just HAVE TO HAVE these. Tell us if you prefer THIS Lily stiletto skinny jean or THAT side stripe trouser and you could WIN IT.","2017-09-20T12:00:05+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155574555334693/?type=3","32075534692_10155574555334693",NA,970,1409,172
"85",85,32075534692,"Oasis Fashion","Because you just HAVE TO HAVE these. Tell us if you prefer THIS beautiful Rosetti print shirt or THAT classic Rosetti shift dress and you could WIN IT.","2017-09-13T13:06:05+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155556513404693/?type=3","32075534692_10155556513404693",NA,1388,2050,246
"94",94,32075534692,"Oasis Fashion","Because you just HAVE TO HAVE these. Tell us if you prefer THIS ultimate red suit jacket or THAT classic longline blazer and you could WIN IT.","2017-09-06T11:30:05+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155538632664693/?type=3","32075534692_10155538632664693",NA,797,1094,156
"101",101,32075534692,"Oasis Fashion","Because you just HAVE TO HAVE these. Tell us if you prefer THIS cute flippy skirt or THAT classic bell sleeve knit and you could WIN IT.","2017-08-30T12:05:02+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155519690434693/?type=3","32075534692_10155519690434693",NA,761,1013,120
"113",113,32075534692,"Oasis Fashion","Because you just HAVE TO HAVE these. Tell us if you prefer THIS beautiful berry key hole top or THAT navy kimono wrap front tee and you could WIN IT.","2017-08-23T11:15:01+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155501118084693/?type=3","32075534692_10155501118084693",NA,851,1181,159
"121",121,32075534692,"Oasis Fashion","Because you just HAVE TO HAVE these. Tell us if you prefer THIS flattering textured flippy dress or THAT textured peplum top and you could WIN IT.","2017-08-16T08:00:08+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155482230509693/?type=3","32075534692_10155482230509693",NA,906,1226,177
"131",131,32075534692,"Oasis Fashion","It's time for denim with a little something extra! Tell us if you prefer THIS embroidered jean or THAT embroidered skirt and you could WIN IT.","2017-08-09T09:53:01+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155463148779693/?type=3","32075534692_10155463148779693",NA,746,965,126
